# {"t_start": 1541107205.088844, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
1.0,155,27.001966
3.0,230,30.03038
2.0,186,32.341036
0.0,123,33.832515
0.0,125,35.359475
0.0,125,36.905171
0.0,127,38.464322
0.0,129,40.0757
1.0,155,42.058386
1.0,178,44.309371
0.0,127,45.832123
0.0,129,47.417509
4.0,299,51.357232
2.0,201,53.909689
0.0,125,55.436475
0.0,127,57.301776
0.0,129,59.554753
1.0,157,62.290431
2.0,205,65.781187
1.0,157,68.086954
4.0,277,72.169208
0.0,127,73.906823
3.0,256,78.309156
1.0,153,81.272658
3.0,242,84.904774
0.0,127,86.498385
5.0,330,90.807137
0.0,129,92.389346
2.0,222,95.265506
0.0,125,96.777818
5.0,352,101.292233
0.0,127,102.866766
4.0,318,107.095666
2.0,202,109.617241
4.0,299,113.47105
0.0,129,115.004274
0.0,127,116.54353
0.0,127,118.043767
0.0,127,119.56092
2.0,200,122.068172
0.0,127,123.53755
2.0,203,126.11787
2.0,200,128.562263
5.0,350,133.122994
0.0,129,134.695566
2.0,202,137.233377
5.0,369,142.022165
1.0,155,143.934479
0.0,129,145.453421
2.0,200,147.958384
4.0,295,151.744324
5.0,328,156.02056
5.0,352,160.574502
2.0,202,163.093621
20.0,627,171.359902
9.0,403,176.582481
2.0,200,179.05817
1.0,157,180.965964
5.0,350,185.496999
5.0,329,189.707182
6.0,397,194.809416
0.0,129,196.362495
6.0,394,201.407534
0.0,129,202.911759
0.0,129,204.448715
4.0,263,207.751832
5.0,350,212.212963
10.0,432,217.798069
0.0,129,219.282219
4.0,258,222.501403
13.0,457,228.306041
2.0,202,230.743076
11.0,487,236.79504
0.0,129,238.272106
0.0,129,239.77983
9.0,538,246.613256
10.0,509,253.063339
0.0,129,254.548026
7.0,400,259.594383
2.0,184,261.805262
9.0,396,266.656561
6.0,381,271.319593
7.0,443,276.820218
15.0,574,284.041097
5.0,372,288.617245
17.0,521,295.050199
11.0,583,302.232988
13.0,545,308.914111
12.0,603,316.287052
28.0,985,328.530469
16.0,750,339.3703
20.0,583,347.300248
19.0,772,356.926482
7.0,417,362.011341
28.0,653,369.896782
21.0,688,378.309535
15.0,585,385.431137
9.0,489,391.387257
29.0,859,401.891101
39.0,1014,414.384399
13.0,606,421.746828
20.0,761,431.070837
63.0,1507,451.533702
79.0,1534,470.268791
49.0,1312,487.029482
40.0,964,499.068949
30.0,1021,512.366489
38.0,1269,528.103652
53.0,1295,543.891999
34.0,849,554.149068
47.0,1228,569.086112
85.0,1498,587.341877
53.0,1419,604.725795
71.0,1558,623.549712
35.0,1149,637.419931
51.0,1130,651.123452
48.0,1077,664.13165
53.0,1186,678.522442
94.0,1499,696.761505
87.0,1465,714.566669
67.0,1251,729.691578
121.0,1712,753.335853
54.0,1254,769.9838
101.0,1362,786.550019
91.0,1358,802.957212
193.0,1761,824.208131
367.0,1873,847.019384
289.0,1779,868.732733
96.0,1630,888.466681
141.0,1460,906.198741
366.0,1941,929.759351
322.0,1586,948.96073
321.0,1698,969.382414
97.0,904,980.210557
365.0,2027,1004.773837
286.0,1689,1025.200277
353.0,2311,1053.099278
352.0,2015,1077.343479
356.0,2165,1104.129876
366.0,2178,1130.444209
